cite1,cite2,n
"Rasch, GEORG, 1993, PROBABILISITIC MODEL","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",17
"Reckase, MD, 1985, APPL PSYCH MEAS, V9, P401, DOI 10.1177/014662168500900409","Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821",17
"Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201","Thissen, D, 1988, TEST VALIDITY, P147",17
"Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",17
"Sireci, SG, 1991, J EDUC MEAS, V28, P237, DOI 10.1111/J.1745-3984.1991.TB00356.X","Wainer, H, 1995, APPL MEAS EDUC, V8, P157, DOI 10.1207/S15324818AME0802_4",17
"Stout, W, 1996, APPL PSYCH MEAS, V20, P331, DOI 10.1177/014662169602000403","Stout, W, 2001, ESSAYS ITEM RESPONSE, P357",17
"Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X","Zwick, R, 1990, J EDUC STAT, V15, P185, DOI 10.3102/10769986015003185",17
"Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X","Zwick, R, 1993, J EDUC MEAS, V30, P233, DOI 10.1111/J.1745-3984.1993.TB00425.X",17
"Wainer, H, 1995, APPL MEAS EDUC, V8, P157, DOI 10.1207/S15324818AME0802_4","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",17
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Rasch, GEORG, 1993, PROBABILISITIC MODEL",16
"Albert, JH, 1992, J EDUC STAT, V17, P251, DOI 10.2307/1165149","Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801",16
"Albert, JH, 1992, J EDUC STAT, V17, P251, DOI 10.2307/1165149","Gelfand, AE, 1990, J AM STAT ASSOC, V85, P398, DOI 10.2307/2289776",16
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801",16
"Baker, FB, 2004, ITEM RESPONSE THEORY","R Core, TEAM, 2019, LANG ENV STAT COMP",16
"Baker, FB, 2004, ITEM RESPONSE THEORY","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",16
"Beguin, AA, 2001, PSYCHOMETRIKA, V66, P541, DOI 10.1007/BF02296195","Spiegelhalter, DJ, 2002, J ROY STAT SOC B, V64, P583, DOI 10.1111/1467-9868.00353",16
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533",16
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Kolen, MJ, 2014, TEST EQUATING LINKIN",16
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Mislevy, RL, 1997, BILOG 3 ITEM ANAL TE",16
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","van der Linden, WJ, 2016, HDB MODERN ITEM RESP",16
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Reckase, MD, 1985, APPL PSYCH MEAS, V9, P401, DOI 10.1177/014662168500900409",16
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",16
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Cohen, JW, 1997, STAT POWER ANAL BEHA",16
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",16
"Camilli, G, 1994, METHODS IDENTIFFING","Thissen, D, 1986, PSYCHOL BULL, V99, P118, DOI 10.1037/0033-2909.99.1.118",16
"Camilli, G, 1994, METHODS IDENTIFFING","Zwick, R, 1993, J EDUC MEAS, V30, P233, DOI 10.1111/J.1745-3984.1993.TB00425.X",16
"Candell, GL, 1988, APPL PSYCH MEAS, V12, P253, DOI 10.1177/014662168801200304","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",16
"Chang, HH, 1996, J EDUC MEAS, V33, P333, DOI 10.1111/J.1745-3984.1996.TB00496.X","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",16
"Chang, HH, 1996, J EDUC MEAS, V33, P333, DOI 10.1111/J.1745-3984.1996.TB00496.X","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",16
"Chang, HH, 1996, J EDUC MEAS, V33, P333, DOI 10.1111/J.1745-3984.1996.TB00496.X","Zwick, R, 1993, J EDUC MEAS, V30, P233, DOI 10.1111/J.1745-3984.1993.TB00425.X",16
"Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285","Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821",16
"Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285","Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X",16
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640",16
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","Hartz, SM, 2002, THESIS",16
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",16
"Clauser, BE, 1993, APPL MEAN EDUC, V6, P269, DOI [10.1207/S15324818AME0604_2, DOI 10.1207/S15324818AME0604_2]","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",16
"Clauser, BE, 1998, ED MEASUREMENT ISSUE, V17, P31, DOI DOI 10.1111/J.1745-3992.1998.TB00619.X","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",16
"Cohen, JW, 1997, STAT POWER ANAL BEHA","Kirk, RE, 1996, EDUC PSYCHOL MEAS, V56, P746, DOI 10.1177/0013164496056005002",16
"Cohen, JW, 1997, STAT POWER ANAL BEHA","Schmidt, FL, 1996, PSYCHOL METHODS, V1, P115, DOI 10.1037/1082-989X.1.2.115",16
"Crocker, L, 2008, INTRO CLASSICAL MODE","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",16
"Crocker, L, 2008, INTRO CLASSICAL MODE","Wilkinson, L, 1999, AM PSYCHOL, V54, P594, DOI 10.1037/0003-066X.54.8.594",16
"De Boeck, P, 2004, EXPLANATORY ITEM RES","Embretson, SE, 2000, ITEM RESONSE THEORY",16
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X",16
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Liu, JC, 2012, APPL PSYCH MEAS, V36, P548, DOI 10.1177/0146621612456591",16
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",16
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X",16
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",16
"Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0","Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X",16
"Embretson, SE, 2000, ITEM RESONSE THEORY","R Development Core, TEAM, 2017, LANG ENV STAT COMP",16
"Embretson, SE, 2000, ITEM RESONSE THEORY","Wright, BD, 1982, RATING SCALE ANAL",16
"Finch, H, 2005, APPL PSYCH MEAS, V29, P278, DOI 10.1177/0146621605275728","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",16
"Fischer, GH, 1973, ACTA PSYCHOL, V37, P359, DOI 10.1016/0001-6918(73)90003-6","Linacre, JM, 1994, MANY FACET RASCH MEA",16
"Fischer, GH, 1973, ACTA PSYCHOL, V37, P359, DOI 10.1016/0001-6918(73)90003-6","Rasch, GEORG, 1993, PROBABILISITIC MODEL",16
"Glas, CAW, 2003, APPL PSYCH MEAS, V27, P217, DOI 10.1177/0146621603027003003","Meijer, RR, 2001, APPL PSYCH MEAS, V25, P107, DOI 10.1177/01466210122031957",16
"Haebara, T, 1980, JPN PSYCHOL RES, V22, P144, DOI 10.4992/PSYCHOLRES1954.22.144","Kim, SH, 1998, APPL PSYCH MEAS, V22, P131, DOI 10.1177/01466216980222003",16
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Henson, R, 2005, APPL PSYCH MEAS, V29, P262, DOI 10.1177/0146621604272623",16
"Hambleton, RK, 2000, ITEM RESPONE THEORY","Mislevy, RL, 1997, BILOG 3 ITEM ANAL TE",16
"Hanson, BA, 2002, APPL PSYCH MEAS, V26, P3, DOI 10.1177/0146621602026001001","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",16
"Hanson, BA, 2002, APPL PSYCH MEAS, V26, P3, DOI 10.1177/0146621602026001001","Loyd, BH, 1980, J EDUC MEAS, V17, P179, DOI 10.1111/J.1745-3984.1980.TB00825.X",16
"Hartz, SM, 2002, THESIS","Macready, GB, 1977, J EDUC STATIST, V2, P99, DOI DOI 10.3102/10769986002002099",16
"Hartz, SM, 2002, THESIS","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",16
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","von Davier, M, 2007, 0516 ED TEST SERV",16
"Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034","Kline, RB, 2016, PRINCIPKLES PRACTICE",16
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Narayanan, P, 1994, APPL PSYCH MEAS, V18, P315, DOI 10.1177/014662169401800403",16
"Holland, PW, 2012, DIFFERENTIAL ITEM F","Millsap, RE, 1993, APPL PSYCH MEAS, V17, P297, DOI 10.1177/014662169301700401",16
"Holland, PW, 2012, DIFFERENTIAL ITEM F","Thissen, D, 1988, TEST VALIDITY, P147",16
"Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118","Meredith, W, 1993, PSYCHOMETRIKA, V58, P525, DOI 10.1007/BF02294825",16
"Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118","Vandenberg, RJ, 2000, ORGAN RES METHODS, V3, P4, DOI 10.1177/109442810031002",16
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Mantel, N, 1959, J NATL CANCER I, V22, P719",16
"Joreskog, KG, 1971, PSYCHOMETRIKA, V36, P109, DOI 10.1007/BF02291393","Meredith, W, 1993, PSYCHOMETRIKA, V58, P525, DOI 10.1007/BF02294825",16
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",16
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Rupp, AA, 2008, MEAS-INTERDISCIP RES, V6, P219, DOI 10.1080/15366360802490866",16
"Kolen, MJ, 2014, TEST EQUATING LINKIN","R Development Core, TEAM, 2017, LANG ENV STAT COMP",16
"Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",16
"Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X","Tatsuoka, KK, 1995, COGNITIVELY DIAGNOST, P327",16
"Lord, FM, 2008, STAT THEORIES MENT","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",16
"Lord, FM, 2008, STAT THEORIES MENT","Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1",16
"Lord, FM, 2008, STAT THEORIES MENT","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",16
"Lord, FM, 2008, STAT THEORIES MENT","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",16
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Narayanan, P, 1996, APPL PSYCH MEAS, V20, P257, DOI 10.1177/014662169602000306",16
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Wright, BD, 1982, RATING SCALE ANAL",16
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403",16
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Zwick, R, 1990, J EDUC STAT, V15, P185, DOI 10.3102/10769986015003185",16
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","R Core, TEAM, 2019, LANG ENV STAT COMP",16
"Molenaar, IW, 1990, PSYCHOMETRIKA, V55, P75, DOI 10.1007/BF02294745","Snijders, TAB, 2001, PSYCHOMETRIKA, V66, P331, DOI 10.1007/BF02294437",16
"Molenaar, IW, 1990, PSYCHOMETRIKA, V55, P75, DOI 10.1007/BF02294745","Wright, BD, 1979, BEST TEST DESIGN",16
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Thissen, D, 1989, J EDUC MEAS, V26, P161, DOI 10.1111/J.1745-3984.1989.TB00326.X",16
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Wright, BD, 1982, RATING SCALE ANAL",16
"Narayanan, P, 1996, APPL PSYCH MEAS, V20, P257, DOI 10.1177/014662169602000306","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",16
"Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",16
"Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146","Spiegelhalter, DJ, 2002, J ROY STAT SOC B, V64, P583, DOI 10.1111/1467-9868.00353",16
"Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1","Veldkamp, BP, 2002, PSYCHOMETRIKA, V67, P575, DOI 10.1007/BF02295132",16
"Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1","Wang, C, 2011, PSYCHOMETRIKA, V76, P13, DOI 10.1007/S11336-010-9186-0",16
"Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X","Zwick, R, 1990, J EDUC STAT, V15, P185, DOI 10.3102/10769986015003185",16
"Roussos, LA, 1998, J EDUC MEAS, V35, P1, DOI 10.1111/J.1745-3984.1998.TB00525.X","Stout, W, 2001, ESSAYS ITEM RESPONSE, P357",16
"Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",16
"Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572","Zwick, R, 1993, J EDUC MEAS, V30, P233, DOI 10.1111/J.1745-3984.1993.TB00425.X",16
"Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",16
"Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",16
"Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",16
"Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X","Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453",16
"Tatsuoka, KK, 1990, DIAGNOSTIC MONITORING OF SKILL AND KNOWLEDGE ACQUISITION, P453","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",16
"Thissen, D, 1986, PSYCHOL BULL, V99, P118, DOI 10.1037/0033-2909.99.1.118","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",16
"Thissen, DAVID, 1996, ED MEASUREMENT ISSUE, V15, P22, DOI DOI 10.1111/J.1745-3992.1996.TB00803.X","Wainer, H, 1995, APPL MEAS EDUC, V8, P157, DOI 10.1207/S15324818AME0802_4",16
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Embretson, SE, 2000, ITEM RESONSE THEORY",15
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Fischer, GH, 1973, ACTA PSYCHOL, V37, P359, DOI 10.1016/0001-6918(73)90003-6",15
"Adams, RJ, 1997, APPL PSYCH MEAS, V21, P1, DOI 10.1177/0146621697211001","Reckase, MD, 2009, STAT SOC BEHAV SC, P1, DOI 10.1007/978-0-387-89976-3_1",15
"Agresti, A, 2013, CATEGORIACAL DATA AN","R Core, TEAM, 2019, LANG ENV STAT COMP",15
"Albert, JH, 1992, J EDUC STAT, V17, P251, DOI 10.2307/1165149","Lord, FM, 2008, STAT THEORIES MENT",15
"Baker, FB, 2004, ITEM RESPONSE THEORY","Bock, RD, 1970, PSYCHOMETRIKA, V35, P179",15
"Baker, FB, 2004, ITEM RESPONSE THEORY","Bock, RD, 1982, APPL PSYCH MEAS, V6, P431, DOI 10.1177/014662168200600405",15
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Chang, HH, 1996, APPL PSYCH MEAS, V20, P213, DOI 10.1177/014662169602000303",15
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Fischer, GH, 1973, ACTA PSYCHOL, V37, P359, DOI 10.1016/0001-6918(73)90003-6",15
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",15
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",15
"Bock, RD, 1970, PSYCHOMETRIKA, V35, P179","Rasch, GEORG, 1993, PROBABILISITIC MODEL",15
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Glas, CAW, 2003, APPL PSYCH MEAS, V27, P217, DOI 10.1177/0146621603027003003",15
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Rasch, GEORG, 1993, PROBABILISITIC MODEL",15
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Kim, SH, 1998, APPL PSYCH MEAS, V22, P131, DOI 10.1177/01466216980222003",15
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","R Development Core, TEAM, 2017, LANG ENV STAT COMP",15
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Thissen, D, 1986, PSYCHOL BULL, V99, P118, DOI 10.1037/0033-2909.99.1.118",15
"Bock, RD, 1982, APPL PSYCH MEAS, V6, P431, DOI 10.1177/014662168200600405","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",15
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",15
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Thissen, DAVID, 1996, ED MEASUREMENT ISSUE, V15, P22, DOI DOI 10.1111/J.1745-3992.1996.TB00803.X",15
"Byrne, BM, 2013, STRUCTURAL EQUATING","Fan, XT, 2001, EDUC PSYCHOL MEAS, V61, P517, DOI 10.1177/00131640121971365",15
"Byrne, BM, 2013, STRUCTURAL EQUATING","Kline, RB, 2016, PRINCIPKLES PRACTICE",15
"Camilli, G, 1994, METHODS IDENTIFFING","Chang, HH, 1996, J EDUC MEAS, V33, P333, DOI 10.1111/J.1745-3984.1996.TB00496.X",15
"Camilli, G, 1994, METHODS IDENTIFFING","Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403",15
"Camilli, G, 1994, METHODS IDENTIFFING","Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201",15
"Candell, GL, 1988, APPL PSYCH MEAS, V12, P253, DOI 10.1177/014662168801200304","Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403",15
"Chang, HH, 1996, APPL PSYCH MEAS, V20, P213, DOI 10.1177/014662169602000303","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",15
"Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285","Glas, CAW, 2003, APPL PSYCH MEAS, V27, P217, DOI 10.1177/0146621603027003003",15
"Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",15
"Cheng, Y, 2009, PSYCHOMETRIKA, V74, P619, DOI 10.1007/S11336-009-9123-2","de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7",15
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",15
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X",15
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081",15
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",15
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",15
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",15
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Spiegelhalter, DJ, 2002, J ROY STAT SOC B, V64, P583, DOI 10.1111/1467-9868.00353",15
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Tatsuoka, KK, 1995, COGNITIVELY DIAGNOST, P327",15
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Dibello, LV, 2007, HANDB STAT, V26, P979, DOI 10.1016/S0169-7161(06)26031-0",15
"de la Torre, J, 2010, J EDUC MEAS, V47, P115, DOI 10.1111/J.1745-3984.2009.00102.X","de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7",15
"de la Torre, J, 2010, J EDUC MEAS, V47, P115, DOI 10.1111/J.1745-3984.2009.00102.X","Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X",15
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Liu, JC, 2012, APPL PSYCH MEAS, V36, P548, DOI 10.1177/0146621612456591",15
"Decarlo, LT, 2011, APPL PSYCH MEAS, V35, P8, DOI 10.1177/0146621610377081","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",15
"Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1","Gelman, A, 2014, AYESIAN DATA ANAL",15
"Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",15
"Dibello, LV, 1995, COGNITIVELY DIAGNOST, P327","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",15
"Drasgow, F, 1985, BRIT J MATH STAT PSY, V38, P67, DOI 10.1111/J.2044-8317.1985.TB00817.X","Glas, CAW, 2003, APPL PSYCH MEAS, V27, P217, DOI 10.1177/0146621603027003003",15
"Embretson, SE, 2000, ITEM RESONSE THEORY","Lord, FM, 2008, STAT THEORIES MENT",15
"Fan, XT, 2001, EDUC PSYCHOL MEAS, V61, P517, DOI 10.1177/00131640121971365","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",15
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",15
"Hanson, BA, 2002, APPL PSYCH MEAS, V26, P3, DOI 10.1177/0146621602026001001","Marco, GL, 1977, J EDUC MEAS, V14, P139, DOI 10.1111/J.1745-3984.1977.TB00033.X",15
"Hartz, SM, 2002, THESIS","Tatsuoka, KK, 1995, COGNITIVELY DIAGNOST, P327",15
"Henson, R, 2005, APPL PSYCH MEAS, V29, P262, DOI 10.1177/0146621604272623","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",15
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","R Core, TEAM, 2019, LANG ENV STAT COMP",15
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Wang, WC, 2003, APPL PSYCH MEAS, V27, P479, DOI 10.1177/0146621603259902",15
